Date,Close
2024,"4,783.83"
2023,"4,769.83"
2022,"3,839.50"
2021,"4,766.18"
2020,"3,756.07"
2019,"3,230.78"
2018,"2,506.85"
2017,"2,673.61"
2016,"2,238.83"
2015,"2,043.94"
2014,"2,058.90"
2013,"1,848.36"
2012,"1,426.19"
2011,"1,257.60"
2010,"1,257.64"
2009,"1,115.10"
2008,903.25
2007,"1,468.36"
2006,"1,418.30"
2005,"1,248.29"
2004,"1,211.92"
2003,"1,111.92"
2002,879.82
2001,"1,148.08"
2000,"1,320.28"
1999,"1,469.25"
1998,"1,229.23"
1997,970.43
1996,740.74
1995,615.93
1994,459.27
1993,466.45
1992,435.71
1991,417.09
1990,330.22
1989,353.4
1988,277.72
1987,247.08
1986,242.17
1985,211.28
1984,167.24
1983,164.93
1982,140.64
1981,122.55
1980,135.76
1979,107.94
1978,96.11
1977,95.1
1976,107.46
1975,90.19
1974,68.56
1973,97.55
1972,118.05
