id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
1231352,The '78 Slasher: A Halloween Fan Film,0.0,0,Released,2024-01-13,0,32,False,,0,https://www.youtube.com/watch?v=B0GfWR1-D4Y,tt29420409,en,The '78 Slasher: A Halloween Fan Film,"After being shot 6 times at gunpoint by his psychiatrist Dr. Sam Loomis, Michael Myers gets up and continues his night of terror. He stumbles across a babysitter doing her job which eventually leads to a Halloween house party. Are these party goers ready for the Boogeyman?",0.0,/uqCW0vMQCuzO8gKrWeuMO7HrPc6.jpg,,Horror,Keep It 100 Productions,United States of America,English
1230796,i am saved,0.0,0,Released,2024-01-12,0,3,False,/wN6Pr8oIZMrewbKyIVjttbLMzhN.jpg,0,,,en,i am saved,Feedback and religious radio noise,1.4,/yai8fTRGnHtp67yv5SBSTSSxzLr.jpg,,"Drama, Horror",things change,United States of America,English
1219348,They Turned Us Into Killers,0.0,0,Released,2024-01-09,0,0,False,,0,,tt12246076,en,They Turned Us Into Killers,"A girl named Karma is drugged and assaulted by her boyfriend, BJ, which leads to her tragically committing suicide. Prior to this devastating event, she writes a letter to her best friend, Star, detailing the horrific events that unfolded that fateful night. Determined to seek revenge against those responsible, Star hunts down BJ and his brothers, and begins to torture them, while reading to them Karma's suicide letter, before taking each of their lives.",0.6,/ycKN85I1dWuW67xCxgmhX4iXBaX.jpg,,Horror,"PhilaDreams Films, Safier Entertainment, Lux Angeles Studios, Step by Step Pictures (US)",United States of America,English
1218245,Hellhounds,0.0,0,Released,2024-01-08,0,0,False,,0,,tt15016100,en,Hellhounds,A pack of werewolves known as the Hell Hounds wage a shadow war against a fanatical order of werewolf hunters called the Silver Bullets. The Hounds and the Bullets now roam the country appearing to the outside world as rival biker gangs.,0.0,/dcdyaS9VzPsGx3bZGL1VmvPf9j7.jpg,,"Horror, Action","Blue Side Up Films, Film Core, Fun House Features, Hohlo Graphic Productions",United States of America,English
1203509,Terror of the Soul,0.0,0,Post Production,2024-01-01,0,0,False,,0,,tt3831118,en,Terror of the Soul,An avant-garde series based on the classic works of Edgar Allan Poe.,1.4,,,Horror,,United States of America,English
1148207,New Fears Eve,0.0,0,Post Production,2023-12-31,0,0,False,,60000,,tt22501842,en,New Fears Eve,"Follows three best friends who involuntarily prepare for Hooper Industries' annual New Year's Eve party, which turns deadly when a murderer sets his sights on them.",3.625,/8BmSVQh4fDiWL1hnZZmxknci466.jpg,The Doctor Will SLAY You Now!,"Horror, Comedy",Blood Moon Creative,United States of America,
926606,The Home,0.0,0,In Production,2023-12-31,0,0,False,,0,,tt17023012,en,The Home,"A troubled man starts working at a retirement home and realizes its residents and caretakers harbor sinister secrets. As he investigates the building and its forbidden fourth floor, he starts to uncover connections to his own past and upbringing as a foster child.",2.186,,,Horror,Miramax,United States of America,English
1211722,Death Walks Behind You,0.0,0,Released,2023-12-30,0,80,False,,0,,tt22489892,en,Death Walks Behind You,Plot details unknown.,0.0,,,Horror,Cinefilm Transinternational,United States of America,English
1165176,INFERNAL,0.0,0,In Production,2023-12-30,0,10,False,,8500,https://filmfreeway.com/projects/2470619,,en,INFERNAL,Two men struggle to drag a body in the wilderness.,0.6,/vnwMCkihdDeC0bGPIVLKtFZzbIJ.jpg,,Horror,,United States of America,English
1230021,New Skin,0.0,0,Released,2023-12-29,0,13,False,,0,,tt3074464,en,New Skin,"New Skin tells the tale of an immature child obsessed with a cute duck toy that has the ability to repeat anything you say; however, this obsession comes with a price that both this child and his overly blunt, abusive brother will pay for.",0.0,/uEptb41CjASSiVbOsXLN2qDjHP.jpg,New Skin! New Skin! New Skin! Yay!,Horror,Quixotical Motion Pictures Entertainment,United States of America,English
