titleType,primaryTitle,startYear,genres
tvEpisode,Dracula,1972,Horror
tvEpisode,Abbott & Costello Meet Dr. Jekyll & Mr. Hyde,1972,Horror
tvEpisode,Bride of Frankenstein,1972,Horror
tvEpisode,Murders In the Rue Morgue,1972,Horror
movie,The Flesh and Blood Show,1972,Horror
movie,Do Gaz Zameen Ke Neeche,1972,Horror
tvEpisode,Episode #1.4,1972,Horror
tvEpisode,Episode #1.6,1972,Horror
tvEpisode,Episode #1.11,1972,Horror
tvEpisode,Bud Abbott Lou Costello Meet the Killer,1972,Horror
movie,The Rats Are Coming - The Werewolves Are Here,1972,Horror
tvEpisode,Cry of the Werewolf & Atom Age Vampire,1972,Horror
tvEpisode,Beast of Hollow Mountain,1972,Horror
movie,Wajah Seorang Pembunuh,1972,Horror
movie,Voices of Desire,1972,Horror
tvMovie,Lights Out,1972,Horror
tvEpisode,Lady and the Monster & Man Made Monster,1972,Horror
tvEpisode,Man They Could Not Hang & Man With Nine Lives,1972,Horror
tvEpisode,Doctor Blood's Coffin,1972,Horror
tvEpisode,The Sorcerers,1972,Horror
movie,La llamada del vampiro,1972,Horror
movie,Bees Saal Pehle,1972,Horror
movie,Cu'un sae han nyo,1972,Horror
movie,What Became of Jack and Jill?,1972,Horror
movie,Fury of the Wolfman,1972,Horror
tvMovie,Gargoyles,1972,Horror
tvEpisode,The Man Who Lived Twice,1972,Horror
tvEpisode,The Man Who Could Cheat Death,1972,Horror
tvEpisode,Francis in the Haunted House,1972,Horror
tvEpisode,Carnival of Souls,1972,Horror
tvEpisode,The Son of Dr Jekyll,1972,Horror
tvEpisode,The Gorgon,1972,Horror
tvEpisode,Snake People,1972,Horror
tvEpisode,The Haunted Strangler,1972,Horror
tvEpisode,The Return of the Vampire,1972,Horror
tvEpisode,Invasion of the Neptune Men,1972,Horror
movie,Mortal Remains,1972,Horror
movie,Resentment of Daughter-in-law,1972,Horror
movie,Nightshade,1972,Horror
movie,Tombs of the Blind Dead,1972,Horror
movie,When the Gods Fall Asleep,1972,Horror
tvMovie,She Waits,1972,Horror
movie,Vampire Circus,1972,Horror
movie,Requiem for a Vampire,1972,Horror
movie,The Devil's Lover,1972,Horror
movie,Asylum,1972,Horror
movie,Asylum of Satan,1972,Horror
tvMovie,Dracula,1972,Horror
movie,Frankenstein '80,1972,Horror
movie,Invasion of the Blood Farmers,1972,Horror
tvEpisode,Episode #1.16,1972,Horror
tvEpisode,Episode #1.17,1972,Horror
tvEpisode,Episode #1.19,1972,Horror
tvEpisode,Episode #1.18,1972,Horror
tvEpisode,Episode #1.20,1972,Horror
tvEpisode,Episode #1.21,1972,Horror
tvEpisode,Episode #1.22,1972,Horror
